date,Road passenger transport by buses and coaches[Milions],Rail passenger transport[Milions],flights transportation[year],Population Density[ppl/km^2],HDI index,population,social spending[% of GPD],GDP per capita[$],border countries,health expenditure,Share of 65 and over - elderly,Share of under 15 - children,Share of 15 to 24 - youth,share of 25 to 64,"doctors per 10,000","bed per 10,000",Weeklydistance,WeeklyConfirmed,WeeklyDeaths,WeeklyTestDone,WeeklyGrowth
26-01-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,52.80537162,0.142857143,0,0,0
02-02-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,53.30104944,1,0,0,7
09-02-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,52.71240853,2,0,0,2
16-02-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,51.72090475,2,0,0,1
23-02-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,46.54745288,16.42857143,0,0,8.214285714
01-03-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,47.04391886,250,3,0,15.2173913
08-03-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,47.56759993,2802.571429,73.85714286,0,11.21028571
15-03-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,48.20849227,15306.42857,719.2857143,0,5.461565909
22-03-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,48.63907068,50006.28571,3717.571429,0,3.267011993
29-03-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,48.93644763,103648.4286,9409,0,2.072708002
05-04-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.1157005,147572.1429,14707.57143,0,1.423775979
12-04-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.25087234,179232.5714,18727,0,1.21454204
19-04-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.28803113,204767.1429,21698.14286,0,1.142466133
26-04-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.35327166,212288.8571,24142,315608,1.036733014
03-05-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.36959057,220430.4286,25858.42857,274081,1.038351384
10-05-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.38019494,228418.2857,27104.57143,294200,1.036237543
17-05-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.39464631,232863.8571,28026.28571,302086,1.019462415
24-05-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.40586003,237055.4286,27312.14286,314737,1.018000094
31-05-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.41643515,240331.8571,27130.14286,286646,1.013821361
07-06-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.43086521,242433.4286,27136,238858,1.008744456
14-06-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.44123376,244832.7143,27473.85714,228650,1.009896679
21-06-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.45768444,247210.5714,28329.71429,179742,1.009712171
28-06-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.46925899,249694.7143,28363.71429,174328,1.010048692
05-07-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.4765982,252549.8571,28395.42857,205243,1.011434535
12-07-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.47205844,257619.8571,28412.42857,223963,1.020075244
19-07-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.45691166,267692,28426.42857,273358,1.03909692
26-07-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.4355008,282418.2857,28439.42857,305471,1.05501205
02-08-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.39933462,304676.5714,28488.57143,331442,1.078813189
09-08-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.3682859,330956.8571,28582.57143,383376,1.086256339
16-08-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.298604,369567.4286,28745.57143,482628,1.116663458
23-08-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.1988005,418853,28946.14286,566594,1.13336016
30-08-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.08269188,477023.1429,29217.28571,626262,1.138879614
06-09-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,48.98985515,541317.8571,29621.28571,856605,1.134783218
13-09-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,48.93390574,611902,30176.71429,683322,1.130393154
20-09-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,48.9171477,689214.5714,30954,756205,1.126347963
27-09-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,48.9434896,762953.1429,31712.85714,782325,1.106989281
04-10-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.0318425,833600.4286,32557.85714,795635,1.092597149
11-10-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.2162117,906959.4286,33396.14286,828549,1.088002594
18-10-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.4103702,1003310.143,34338.28571,1070044,1.106234867
25-10-20,47763,26670,71908520,92,0.893,47100396,0.23709,29961,3,0.088731296,0.19737,0.14552,0.10245,0.55466,38.72,29.7,49.588589,1132733.143,35420.28571,1101482,1.128996005
